Layer,Neuron,Weights,Bias
Input,0,-0.211234,0.680375
Hidden,0,-0.896098,-10.233009
Hidden,1,1.950698,4.501927
Hidden,2,4.118552,12.031098
Hidden,3,-1.037440,-4.163309
Hidden,4,1.878304,4.549349
Hidden,5,0.547059,4.556153
Hidden,6,1.067898,4.917290
Hidden,0,2.328069,-0.257799
Hidden,1,1.060390,-0.956794
Hidden,2,-2.392487,-0.846322
Hidden,3,0.432468,0.111620
Hidden,4,6.576356,-2.168657
Hidden,5,-4.836792,-2.111762
Hidden,6,1.021454,-1.746142
Hidden,0,0.837477,-2.590286
Hidden,1,-0.850543,-1.673141
Hidden,2,0.360956,-2.326599
Hidden,3,0.872490,-2.152031
Hidden,4,-0.596516,-3.315996
Hidden,5,-2.256150,-2.952307
Hidden,6,-4.184029,-5.504127
Output,3-0,0.991185,1.614420,1.377893,1.522733,-0.844587,-0.830855,-0.005779,7.354974
